期別,開獎日,銷售金額,獎金總額,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號,頭獎注數,頭獎獎金,頭獎累至次期獎金,貳獎注數,參獎注數,肆獎注數,伍獎注數,陸獎注數,柒獎注數,普獎注數,貳獎獎金,參獎獎金,肆獎獎金,伍獎獎金,陸獎獎金,柒獎獎金,普獎獎金,貳獎累至次期獎金,參獎累至次期獎金,肆獎累至次期獎金
103000107,103/12/26,"124,385,000","206,763,342",49,32,42,45,9,27,30,0,0,"167,989,993",1,46,94,"2,357","2,460","26,877","36,501","2,436,033","52,957","17,276","1,894","1,000",400,400,0,0,0
103000106,103/12/23,"113,913,800","175,853,938",32,39,3,31,30,27,35,0,0,"138,351,592",1,35,94,"1,960","2,725","26,595","37,093","2,067,143","59,061","14,660","1,933","1,000",400,400,0,0,0
103000105,103/12/19,"106,154,200","148,583,315",9,1,24,41,32,49,40,0,0,"113,201,348",1,22,89,"1,732","2,256","23,366","31,905","3,873,280","92,782","15,290","2,160","1,000",400,400,0,0,0
103000104,103/12/16,"103,940,850","123,243,902",35,45,34,32,17,28,8,0,0,"88,366,449",0,26,93,"1,829","2,570","26,246","33,912",0,"70,463","13,133","1,836","1,000",400,400,"1,832,056",0,0
103000103,103/12/12,"103,420,750","104,199,451",24,8,29,32,7,48,37,0,0,"66,076,435",2,38,80,"1,925","2,456","24,554","34,961","2,715,469","48,346","15,309","1,749","1,000",400,400,0,0,0
103000102,103/12/09,"98,502,900","78,620,189",41,23,9,7,43,33,24,0,0,"43,724,265",0,31,80,"1,715","2,372","25,063","32,061",0,"56,041","14,477","1,857","1,000",400,400,"3,593,774",0,0
103000101,103/12/05,"99,073,200","54,490,260",47,30,11,34,37,18,17,0,0,"22,587,119",0,21,85,"1,674","2,195","24,207","29,178",0,"88,403","14,560","2,033","1,000",400,400,"1,856,475",0,0
103000100,103/12/02,"95,229,550","132,565,183",11,26,42,13,9,23,47,1,"100,000,000",0,1,33,75,"1,950","2,179","21,887","35,760","1,628,307","49,342","14,473","1,530","1,000",400,400,0,0,0
104000009,104/01/30,"121,710,950","202,564,513",35,14,24,39,3,44,28,0,0,"152,021,135",2,31,94,"1,987","2,997","31,045","37,383","6,247,442","70,786","15,562","2,024","1,000",400,400,0,0,0
104000008,104/01/27,"114,568,350","174,336,796",45,4,27,15,9,21,6,0,0,"125,322,975",0,48,101,"2,307","3,304","31,919","40,456",0,"38,448","12,181","1,466","1,000",400,400,"10,300,516",0,0
